###################################################################################;;;;
#################   Lookup table for VFS-Mod Simulation results   #################;;;;
###################################################################################;;;;
Version:                  1.0;;;;
No. of rain heights:      9;;;;
No. of runoff heights:    16;;;;
No data value:            -999;;;;
Rain height [mm] ;Runoff Influx;Runoff outflux;Sediment influx;Sediment outflux
1;0;0;0;0
2;0;0;0;0
5;0;0;0;0
10;0;0;0;0
15;0;0;0;0
20;0;0;0;0
30;0;0;0;0
50;0;0;0;0
100;0;0;0;0.00E+00
1;0.002;0;0.2;0
2;0.002;0;0.2;0
5;0.002;0;0.2;0
10;0.002;0;0.2;0
15;0.002;0;0.2;0
20;0.002;0;0.2;0
30;0.002;0;0.2;0
50;0.002;0;0.2;0
100;0.002;0.00481;0.2;1.28E-05
1;0.005;0;0.5;0
2;0.005;0;0.5;0
5;0.005;0;0.5;0
10;0.005;0;0.5;0
15;0.005;0;0.5;0
20;0.005;0;0.5;0
30;0.005;0;0.5;0
50;0.005;0;0.5;0
100;0.005;0.00596;0.5;5.52E-05
1;0.01;0;1;0
2;0.01;0;1;0
5;0.01;0;1;0
10;0.01;0;1;0
15;0.01;0;1;0
20;0.01;0;1;0
30;0.01;0;1;0
50;0.01;0;1;0
100;0.01;0.008263;1;0.0002162
1;0.02;0;2;0
2;0.02;0;2;0
5;0.02;0;2;0
10;0.02;0;2;0
15;0.02;0;2;0
20;0.02;0;2;0
30;0.02;0;2;0
50;0.02;0;2;0
100;0.02;0.0135;2;0.001051
1;0.05;0;5;0
2;0.05;0;5;0
5;0.05;0;5;0
10;0.05;0;5;0
15;0.05;0;5;0
20;0.05;0;5;0
30;0.05;0;5;0
50;0.05;0.003614;5;0.002516
100;0.05;0.03306;5;0.0108
1;0.1;0.004605;10;0.01303
2;0.1;0.005004;10;0.01382
5;0.1;0.006284;10;0.0166
10;0.1;0.008608;10;0.01907
15;0.1;0.01117;10;0.02229
20;0.1;0.01389;10;0.0247
30;0.1;0.01978;10;0.0301
50;0.1;0.03335;10;0.03992
100;0.1;0.07231;10;0.06665
1;0.2;0.07398;20;0.2527
2;0.2;0.07478;20;0.254
5;0.2;0.07732;20;0.2581
10;0.2;0.08152;20;0.2653
15;0.2;0.08574;20;0.2723
20;0.2;0.09;20;0.2792
30;0.2;0.0986;20;0.2936
50;0.2;0.1161;20;0.3238
100;0.2;0.1608;20;0.3992
1;0.5;0.3531;50;3.278
2;0.5;0.354;50;3.283
5;0.5;0.3569;50;3.298
10;0.5;0.3618;50;3.323
15;0.5;0.3666;50;3.348
20;0.5;0.3714;50;3.374
30;0.5;0.381;50;3.425
50;0.5;0.4003;50;3.525
100;0.5;0.4488;50;3.778
1;1;0.8447;100;17.1
2;1;0.8457;100;17.11
5;1;0.8487;100;17.14
10;1;0.8536;100;17.19
15;1;0.8585;100;17.24
20;1;0.8636;100;17.29
30;1;0.8732;100;17.4
50;1;0.893;100;17.61
100;1;0.9422;100;18.14
1;2;1.84;200;72.67
2;2;1.841;200;72.68
5;2;1.844;200;72.73
10;2;1.849;200;72.81
15;2;1.854;200;72.89
20;2;1.859;200;72.97
30;2;1.869;200;73.14
50;2;1.888;200;73.46
100;2;1.938;200;74.29
1;5;4.836;500;350.1
2;5;4.837;500;350.1
5;5;4.84;500;350.1
10;5;4.845;500;350.2
15;5;4.85;500;350.3
20;5;4.855;500;350.4
30;5;4.865;500;350.6
50;5;4.885;500;350.9
100;5;4.935;500;351.9
1;10;9.835;1000;889.8
2;10;9.836;1000;889.8
5;10;9.839;1000;889.8
10;10;9.843;1000;889.9
15;10;9.848;1000;889.9
20;10;9.854;1000;890
30;10;9.864;1000;890.1
50;10;9.884;1000;890.3
100;10;9.933;1000;890.8
1;100;98.35;10000;8898
2;100;98.36;10000;8898
5;100;98.39;10000;8898
10;100;98.43;10000;8899
15;100;98.48;10000;8899
20;100;98.54;10000;8900
30;100;98.64;10000;8901
50;100;98.84;10000;8903
100;100;99.33;10000;8908
1;1000;983.5;100000;88980
2;1000;983.6;100000;88980
5;1000;983.9;100000;88980
10;1000;984.3;100000;88990
15;1000;984.8;100000;88990
20;1000;985.4;100000;89000
30;1000;986.4;100000;89010
50;1000;988.4;100000;89030
100;1000;993.3;100000;89080
1;10000;9835;1000000;889800
2;10000;9836;1000000;889800
5;10000;9839;1000000;889800
10;10000;9843;1000000;889900
15;10000;9848;1000000;889900
20;10000;9854;1000000;890000
30;10000;9864;1000000;890100
50;10000;9884;1000000;890300
100;10000;9933;1000000;890800
